y_p1,y_p2,y_p3,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,disc_cost,avg_cost
2.0,4.0,5.0,7.0,6.0,7.0,7.0,4.0,4.0,6.0,7.0,0.0,0.0,0.0,7.0,4.0,0.0,5.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23403.520565549876,141.6250113876113
3.0,1.0,5.0,4.0,6.0,0.0,10.0,7.0,0.0,10.0,5.0,8.0,10.0,10.0,10.0,7.0,2.0,1.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,25737.484679685527,147.26127493755808
1.0,1.0,3.0,10.0,7.0,10.0,10.0,3.0,0.0,0.0,8.0,0.0,3.0,5.0,1.0,0.0,2.0,8.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,22245.598689869068,138.77180378724094
2.0,4.0,5.0,0.0,5.0,4.0,6.0,5.0,10.0,2.0,8.0,9.0,2.0,8.0,2.0,10.0,10.0,8.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,26418.41531501349,149.09423510882874
0.0,6.0,7.0,5.0,10.0,10.0,5.0,10.0,8.0,1.0,6.0,6.0,0.0,6.0,0.0,9.0,10.0,10.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,26363.654984378976,146.98543073087023
0.0,4.0,5.0,6.0,3.0,10.0,10.0,10.0,1.0,9.0,10.0,5.0,0.0,6.0,7.0,10.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,25672.173227429124,147.0639066423479
1.0,3.0,2.0,7.0,5.0,5.0,10.0,9.0,4.0,3.0,10.0,7.0,10.0,5.0,6.0,5.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,25430.730141026645,146.06757541351183
1.0,4.0,7.0,8.0,0.0,5.0,4.0,5.0,10.0,4.0,8.0,7.0,2.0,6.0,7.0,7.0,0.0,8.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,25060.5832638961,147.54671373651564
2.0,7.0,5.0,0.0,5.0,10.0,10.0,10.0,0.0,9.0,8.0,3.0,2.0,9.0,7.0,10.0,7.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,26125.475843659387,145.500817384396
3.0,5.0,3.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,6.0,8.0,7.0,6.0,4.0,8.0,9.0,6.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30252.241853668293,156.67093499627543
1.0,0.0,4.0,8.0,0.0,4.0,4.0,10.0,2.0,7.0,5.0,10.0,5.0,0.0,10.0,10.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23776.365505339534,143.35431585904558
1.0,5.0,6.0,1.0,5.0,3.0,8.0,10.0,4.0,10.0,0.0,5.0,8.0,7.0,7.0,7.0,7.0,10.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,25106.82791112263,144.41463541350097
2.0,2.0,4.0,7.0,0.0,8.0,8.0,7.0,10.0,7.0,3.0,1.0,9.0,10.0,7.0,6.0,10.0,4.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,24634.5496882335,143.71645231267928
3.0,3.0,9.0,0.0,5.0,0.0,0.0,5.0,6.0,0.0,5.0,6.0,0.0,0.0,5.0,8.0,9.0,10.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,22804.52529809083,141.64915349391126
1.0,1.0,5.0,5.0,7.0,1.0,7.0,10.0,10.0,10.0,10.0,10.0,4.0,5.0,7.0,10.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,26169.173719882034,146.3699040685639
2.0,0.0,2.0,0.0,8.0,7.0,9.0,6.0,0.0,2.0,10.0,5.0,4.0,0.0,7.0,7.0,10.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,24027.87894192526,141.5860981602774
3.0,1.0,5.0,5.0,5.0,9.0,1.0,10.0,10.0,5.0,9.0,10.0,6.0,2.0,4.0,5.0,10.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,25948.538950211598,148.2330147982689
1.0,2.0,3.0,6.0,10.0,10.0,0.0,10.0,5.0,8.0,8.0,5.0,8.0,3.0,0.0,1.0,8.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,24946.440500994373,145.88633306966375
4.0,3.0,3.0,0.0,7.0,8.0,10.0,9.0,5.0,10.0,5.0,5.0,10.0,5.0,10.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,25337.113712952774,146.58466503682865
3.0,3.0,10.0,3.0,10.0,4.0,8.0,8.0,9.0,10.0,10.0,3.0,1.0,5.0,7.0,10.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,25973.89616856597,148.52556935557314
1.0,3.0,4.0,7.0,6.0,0.0,7.0,7.0,7.0,10.0,7.0,4.0,5.0,10.0,10.0,6.0,3.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,24706.513913392024,144.18736082231993
