y_p1,y_p2,y_p3,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,disc_cost,avg_cost,x,y
31.0,1.0,4.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,6.0,10.0,3.0,1.0,1.0,0.0,6.0,9.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,22383.68077889151,562.8399999999999,116.0,36.0
42.0,4.0,5.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,6.0,4.0,8.0,9.0,5.0,3.0,9.0,10.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,37999.158189526395,960.0,132.0,51.0
42.0,3.0,5.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,7.0,6.0,4.0,4.0,2.0,7.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,26431.07470597194,682.04,113.0,50.0
24.0,2.0,6.0,10.0,10.0,10.0,10.0,10.0,10.0,6.0,3.0,5.0,4.0,3.0,6.0,7.0,7.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7706.445934544466,202.6,109.0,32.0
71.0,4.0,3.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,6.0,7.0,8.0,5.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,50629.77952694472,1291.0,117.0,78.0
27.0,3.0,6.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,6.0,5.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,38382.96251325957,953.4599999999998,140.0,36.0
37.0,2.0,4.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,4.0,6.0,4.0,4.0,6.0,6.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,25673.095026124072,648.56,117.0,43.0
72.0,9.0,6.0,10.0,10.0,10.0,10.0,10.0,10.0,6.0,10.0,9.0,2.0,5.0,5.0,5.0,9.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,62721.247185531385,1583.28,125.0,87.0
41.0,2.0,3.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,6.0,6.0,2.0,5.0,0.0,0.0,9.0,10.0,0.0,0.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,28072.72730189484,710.24,122.0,46.0
43.0,1.0,4.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2.0,0.0,5.0,7.0,5.0,0.0,10.0,7.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,34488.66895041298,868.1600000000001,121.0,48.0
