y_p1,y_p2,y_p3,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,disc_cost,avg_cost
114.0,4.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,4.0,5.0,0.0,9.0,10.0,0.0,0.0,6.0,8.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,97319.46625509034,2448.5899999999997
66.0,2.0,6.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,10.0,6.0,8.0,8.0,1.0,7.0,7.0,0.0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,56543.07278965058,1425.4719999999998
31.0,2.0,4.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,0.0,7.0,0.0,6.0,7.0,10.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,24849.884109724524,628.6039999999999
14.0,4.0,5.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,6.0,6.0,6.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2615.1884731454093,67.076
3.0,2.0,1.0,10.0,9.0,7.0,10.0,9.0,9.0,9.0,3.0,10.0,4.0,7.0,4.0,3.0,0.0,5.0,9.0,6.0,10.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7014.861507748468,160.53799999999998
1.0,4.0,11.0,10.0,10.0,10.0,10.0,10.0,9.0,4.0,7.0,5.0,8.0,6.0,2.0,10.0,10.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4424.644941101543,102.43800000000002
31.0,1.0,4.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,7.0,6.0,5.0,9.0,6.0,4.0,7.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,24408.41576655753,617.4720000000001
53.0,5.0,3.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,9.0,10.0,7.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,52193.56231279699,1315.172
79.0,3.0,5.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,5.0,4.0,5.0,3.0,4.0,0.0,10.0,10.0,4.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,59192.373664990606,1494.4460000000001
66.0,5.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,7.0,4.0,5.0,2.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,48068.72797320066,1223.78
